ID,Title,alternative form,alternative form,alternative form,Type,persons (lookup)
TIT2179kwaaro,kwaaro,,,,title,
TIT2180kyrnat,kyrnat,,,,title,
TIT2181lagama,laga manna,,,,office,
TIT2182lagoo,lagoo,lǝǧoo,,,title,
TIT2183lambad,lämbäde,,,,title,
TIT2184lebasa,leba šay,,,,jur.,
TIT2185leg,lǝǧ,,,,title,
TIT2186leul,lǝʿul,,,,title,
TIT2187leulra,lǝʿul ras,,,,title,
TIT2188ligaba,ligaba,,,,title,
TIT2189liq,liq,,,,title,
TIT2190liqaAk,liqä Aksum,,,,title,
TIT2191liqaaq,liqä ʿaqqabe dede,,,,title,
TIT2192liqaar,liqä ardǝʾǝt,,,,title,
TIT2193liqaba,liqä barya,,,,title,
TIT2194liqabe,liqä bǝrhanat,,,,title,
TIT2195liqabe,liqä betö qäṭṭin,,,,title,
TIT2196liqada,liqä däbr,,,,title,
TIT2197liqada,liqä däbtära,,,,title,
TIT2198liqadi,liqä diyaqonat,,,,title,
TIT2199ligagu,ligä gubaʾe,,,,off.,
TIT2200liqaha,liqä ḫadar,,,,title,
TIT2201liqaha,liqä ḥara,,,,title,
TIT2202liqahe,liqä ḫǝruyan,,,,title,
TIT2203liqaka,liqä kahǝnat,,,,title,
TIT2204liqali,liqä liqawǝnt,,,,title,
TIT2205liqama,liqä mäʾǝmran,,,,title,
TIT2206liqama,liqä maḫbär,,,,title,
TIT2207liqama,liqä mäkwas,,,,title,
TIT2208liqama,liqä mäkwanǝnt,,,,title,
TIT2209liqama,liqä mänabǝrt,,,,title,
TIT2210liqama,liqä maraḫt,,,,title,
TIT2211liqama,liqä mäsafǝnt,,,,title,
TIT2212liqama,liqä mäsänaqut,,,,title,
TIT2213liqama,liqä mäḍbǝʾǝt,,,,title,
TIT2214liqama,liqä mäṭṭani,liqä mäṣani,liqä mäṣane,,title,
TIT2215liqama,liqä mäṭṭanǝnt,liqä mäṣanǝnt,,,title,
TIT2216liqama,liqä mäzämmǝran,,,,title,
TIT2217liqame,liqä mǝnet,,,,title,
TIT2218liqapa,liqä ṗaṗṗasat,,,,title,
TIT2219liqara,liqä radǝʾ,,,,title,
TIT2220liqada,liqä ḍäbäʾit,,,,title,
TIT2221liqasa,liqä särawit,,,,title,
TIT2222liqase,liqä sǝlṭanat,,,,title,
TIT2223liqata,liqä ṭäbbäbt,,,,title,
TIT2224liqna,liqna,,,,off.,
TIT2225luuba,luuba,,,,title,
TIT2226macane,mäḉäne,,,,title,
TIT2227maekal,maʾǝkäl,,,,title,
TIT2228maekal,maʾǝkälä angot,,,,title,
TIT2229maekal,maʾǝkälä baḥǝr,,,,title,
TIT2230maekal,maʾǝkälä täwazat,,,,title,
TIT2231maekal,maʾǝkälay ʿalät,,,,land,
TIT2232maga,maga,,,,title,
TIT2233maggab,mäggabe aʾǝlaf,,,,title,
TIT2234maggab,mäggabe bǝluy,,,,title,
TIT2235maggab,mäggabe mǝśṭir,,,,title,
TIT2236maggab,mäggabe śǝrʿat,,,,title,
TIT2237maggab,mäggabi,,,,title,
TIT2238mahdi,mahdī,,,,title,
TIT2239mamur,maʾmur,,,,off.,
TIT2240makami,makām-i hilāfet,,,,office,
TIT2241makwan,mäkwännǝn,,,,title,
