ID,Place,Place,Place,Coordinates,Type,Region,Texts related (lookup),MSS related (lookup)
LOC1223Afdam,Afdäm,,,,pl.n.,,,
LOC1224Afdar,Afdär,Afder,,,zone,,,
LOC1225Afɖera,Afɖera,Egogi Bad,Giulietti,Afxeera,lake,,,
LOC1226Afɖera,Afɖera,Afɖera Tärara,Afrera,,mt.,,,
LOC1227Afɖera,Afɖera,Afrera,,,wär.,,,
LOC1228Afghan,Afghanistan,,,,country,,,
LOC1229Afgooy,Afgooye,,,,pl.n.,,,
LOC1230Afqara,Afqära,,,,mt.,,,
LOC1231Afqara,Afqära Gäbrǝʾel,,,,church,,,
LOC1232Afqara,Afqära Śǝllase,,,,church,,,
LOC1233Afsa,Afsa,,,,pl.n.,,,
LOC1234Afta,ʿAfta,,,,pl.n.,,,
LOC1235Aftana,Afṭänät,,,,pl.n.,,,
LOC1236Agama,ʿAgamä,ʿAgäme,,,reg.,,,
LOC1237Agamad,ʿAgämäda,,,,pl.n.,,,
LOC1238Agambu,Agambusa,,,,reg.,,,
LOC1239Agazan,Agazän Mäbaǧo,,,,mt.,,,
LOC1240AgawAw,Agäw-Awi,,,,zone,,,
LOC1241AgawMe,Agäw Mǝdǝr,,,,reg.,,,
LOC1242Agamja,Agämǧa,,,,pl.n.,,,
LOC1243Aganca,Aganča,,,,reg.,,,
LOC1244AgaraM,Agärä Maryam,,,,pl.n.,,,
LOC1245Agarfa,Agarfa,,,,wär.,,,
LOC1246Agaro,Agaro,,,,reg.,,,
LOC1247AgataM,Agata Maryam,,,,church,,,
LOC1248Agana,Agana,,,,pl.n.,,,
LOC1249Addisg,Addisge,,,,reg.,,,
LOC1250Addiya,Addiya,,,,town,,,
LOC1251Adegad,Adegada,,,,pl.n.,,,
LOC1252Adegna,ʿAdǝgna,,,,settl.,,,
LOC1253Aden,Aden,,,,port,,,
LOC1254Aden,Aden,,,,Gulf of,,,
LOC1255Adet,Adet,,,,pl.n.,,,
LOC1256Adgena,Adgǝna Tägäläba,,,,reg.,,,
LOC1257AdilBa,Adil Badil,,,,pl.n.,,,
LOC1258Adola,Adola,,,wär.,reg.,,,
LOC1259Adolaa,Adola and Wadä,,,,wär.,,,
LOC1260alAdhr,al-ʿAḏrāʾ,,,,church,,,
LOC1261Adulis,Adulis,,,,port,,,
LOC1262Adwa,ʿAdwa,,,,mt.,,,
LOC1263Adwa,ʿAdwa,,,awr.,reg.,,,
LOC1264Adwa,ʿAdwa,ʿAduwa,,,town,,,
LOC1265Adyabo,Adyabo,ʿAddi Abbo,,,reg.,,,
LOC1266Aegean,Aegean is.,,,,,,,
LOC1267AfDegu,ʿAf Dǝgum,,,,arch. site,,,
LOC1268AfaGah,Afä Gaḥgaḥ,,,,reg.,,,
LOC1269Afabat,Afʿabät,,,,town,,,
LOC1270Afalba,Afälba,,,,pl.n.,,,
LOC1271Afallo,Afallo,,,,pl.n.,,,
LOC1272Afambo,Afʿambo,,,,lake,,,
LOC1273Afambo,Afambo,,,,post,,,
LOC1274Afar,ʿAfar,,,,reg.,,,
LOC1275AfarFa,Afär Färäs,,,,mon.,,,
LOC1276Afaraw,Afäräwanat,,,,pl.n.,,,
LOC1277Ajbar,Aǧbar,,,,town,,,
LOC1278Agbara,Agbära,,,,reg.,,,
LOC1279Ajebar,Aǧǝbar,,,,town,,,
LOC1280Ajjo,Aǧǧo,,,,mt.,,,
LOC1281AgoboQ,Agobo Qirqos,Qirqos Agobo,,,church,,,
LOC1282Agot,Agot,,,,reg.,,,
LOC1283Agula,Agulaʿ,Agwǝlaʿ,,,settl.,,,
LOC1284Agwaza,Agwäza,,,,qušät,,,
LOC1285Agwaza,Agwäza Arbaʿǝtu Ǝnsǝsa,,,,church,,,
LOC1286Agwaza,Agwäza Śǝllase,,,,church,,,
LOC1287AgwoQi,Agwo Qirqos,,,,church,,,
LOC1288Aheyya,Ahǝyya Fäǧǧ,Ahǝyya Fäǧǧi,,,pass,,,
LOC1289Ahfaro,Aḥfärom,,,,wär.,,,
LOC1290Ahmada,Aḥmadābād,,,,town,,,
LOC1291Ahmar,Ahmar,,,,riv.,,,
LOC1292Ahsaa,Ahsäʾa,,,,settl.,,,
LOC1293Aidame,Aidamer,,,,pl.n.,,,
LOC1294Aira,Aʾira,,,,town,,,
LOC1295Akaaki,Akaakil,,,,mt.,,,
LOC1296Akemuj,Akemuǧa,,,,riv.,,,
LOC1297Akhmim,Akhmim,,,,town,,,
LOC1298Akkala,Akkälä Guzay,,,,reg.,,,
LOC1299Akkolo,Akkolom,,,,pl.n.,,,
LOC1300Aklil,Aklil,,,,pl.n.,,,
LOC1301Akobo,Akobo,,,,riv.,,,
LOC1302Akobo,Akobo,,,,settl.,,,
LOC1303AkofaM,Akofa Mikaʾel,,,,church,,,
LOC1304Akofin,Akofin,,,,pl.n.,,,
LOC1305Akora,Akora,,,,pl.n.,,,
LOC1306Akra,Aḵra,,,,arch. site,,,
LOC1307Akreme,Akrǝmǝt Mikaʾel,,,,church,,,
LOC1308Alicco,Aliččo,,,,ethn.,,,
LOC1309Akrur,Aḵrur,,,,town,,,
LOC1310Aksum,Aksum,,,,town,,,
LOC1311AksumS,Aksum Ṣǝyon,Gäbäzä Ṣǝyon,Maryam Ṣǝyon; Ǝnda Maryam Ṣǝyon,,church,,,
LOC1312Akula,Akula,,,,settl.,,,
LOC1313Ala,ʿAla,Aloha,Ala Wǝha,,riv.,,,
LOC1314Alafa,Aläfa,,,,reg.,,,
LOC1315Alage,Alage,Alaǧe,,,reg.,,,
LOC1316Alalai,Alalaios,,,,is.,,,
LOC1317Alaltu,Alaltu,,,,mt.,,,
LOC1318Alamay,Alämayya,Harämaya,,,lake,,,
LOC1319Alamay,Alämayya,Harämaya,,,town,,,
LOC1320Alamay,Alämayya,,,,wär.,,,
LOC1321Alamut,Ālamūt,,,,pl.n.,,,
LOC1322Alaqet,ʿAläqǝt,,,,mon.,,,
LOC1323Alaqot,Aläqot,,,,settl.,,,
LOC1324Alaqwa,ʿAläqwa,,,,mt.,,,
LOC1325Alata,Alata,,,,cataract,,,
LOC1326Alata,Aläta,,,,town,Sidamo,,
LOC1327Alata,Alata,,,,settl.,Bägemdǝr,,
LOC1328Alatu,Alatu,,,,mt.,,,
LOC1329Alayla,Alayla,,,,pl.n.,,,
LOC1330Alba,Alba,,,,reg.,,,
LOC1331Albani,Albania,,,,country,,,
LOC1332Albert,Albert,,,,lake,,,
LOC1333Albukk,Albukko,,,,pl.n.,,,
LOC1334Alcoce,Alcocer,,,,port,,,
LOC1335Ale,Ale,,,,wär.,,,
LOC1336Aleltu,Aleltu,,,,riv.,,,
LOC1337Aleppo,Aleppo,,,,town,,,
LOC1338Alexan,Alexandria,,,,town,,,
LOC1339Aleyyu,Alǝyyu Amba,,,,town,,,
LOC1340AliBet,Ali Bet,,,,reg.,,,
LOC1341AliGid,ʿAlī Gidir,,,,town,,,
LOC1342AliSab,Ali Sabieh,,,,town,,,
LOC1343Algade,Algäden,,,,settl.,,,
LOC1344Algand,Alganda,,,,pl.n.,,,
LOC1345Algeri,Algeria,,,,state,,,
LOC1346Algude,Algude,,,,settl.,,,
LOC1347Aliaeu,Aliaeu,,,,is.,,,
LOC1348Alicco,Aliččo-Wǝriro,,,,reg.,,,
LOC1349Alid,Alid,,,,mt.,,,
LOC1350Aligad,Aligäde,,,,reg.,,,
LOC1351Aliged,ʿAligǝdǝr,,,,reg.,,,
LOC1352Aliten,ʿAlitena,,,,town,,,
LOC1353Allafa,Alläfa,,,,reg.,,,
LOC1354Allama,Allamaṭa,,,,town,,,
LOC1355Allamu,Allamura,,,,mt.,,,
LOC1356Allaqi,ʿAllāqī,,,,ōr,,,
LOC1357Alpip,Alpi,,,,mt.,,,
LOC1358Alummu,Alummu,,,,pl.n.,,,
LOC1359Alutu,Alutu,,,,mt.,,,
LOC1360Aluula,ʿAluula,,,,town,,,
LOC1361Alvina,Alvina,,,,pl.n.,,,
LOC1362Alwa,ʿAlwā,Alodia,,,kingdom,,,
LOC1363Alweha,Alwǝha,Aloha,,,riv.,,,
LOC1364Amaaro,Amaaro,Amarro,Amaro,,mt.,,,
LOC1365Amaaro,Amaaro,,,,town,,,
LOC1366Amadam,Amädamit,,,,mt.,,,
LOC1367Amadib,Amädib,,,,pl.n.,,,
