ID,Name,First name,Altname,Altname,Altname,Gender,Nationality/Ethnicity,Religion,Relations,Qualifier,Qualifier,Time,Place,Texts related (lookup),MSS related (lookup)
PRS1125Abdalla,ʿAbdallāh,,,,,m,,Islam,, sayyid ,,,,,
PRS1126Abdalla,ʿAbdallāh,,,,,m,,Islam,, sulṭ.,, d. 1235,,,
PRS1127Abdalla,ʿAbdallāh ʿAbdarraḥmān ʿUṯmān Sayyid,,,,,m,,Islam,, ato ,,,,,
PRS1128Abdalla,ʿAbdallāh al-Aḥwaṣ al-Anṣārī,,,,,m,,Islam,, poet ,,,,,
PRS1129Abdalla,ʿAbdallāh al-Akbar,,,,,m,Arabia,Islam, son Ǧaʿfar b. Abī Ṭālib ,,,,,,
PRS1130Abdalla,ʿAbdallāh al-Aṣġar,,,,,m,Arabia,Islam, son Ǧaʿfar b. Abī Ṭālib ,,,,,,
PRS1131Abdalla,ʿAbdallāh al-Mahdī,,,,,m,,Islam,, ḫalīfa,, (d. 934) ,,,
PRS1132Abdalla,ʿAbdallāh al-Maʾmūn,,,,,m,,Islam,, ḫalīfa ,,(d. 833) ,,,
PRS1133Abdalla,ʿAbdallāh az-Zaylaʿī,,Ǧamāladdīn Abū Muḥammad ʿAbdallāh b. Yūsuf az-Zaylaʿī,,,m,,Islam,, faqīh ,,,,,
PRS1134Abdalla,ʿAbdallāh b. ʿAbdalmuṭṭalib,,,,,m,Arabia,Islam, fath. Muḥammad ,,,,,,
PRS1135Abdalla,ʿAbdallāh b. ʿAbdarraḥmān Bā Faḍl al-Ḥaḍramī,,,,,m,,Islam,, sch. ,,,,,
PRS1136Abdalla,ʿAbdallāh b. Abī Rabīʿa,,,,,m,,Islam,, dipl. ,,,,,
PRS1137Abdalla,ʿAbdallāh b. ʿAqīl b. ʿAbdallāh,,,,,m,,Islam,, sayyid ,,,,,
PRS1138Abdalla,ʿAbdallāh b. ʿAlī b. Dāʾūd,,,,,m,,Islam,, amīr ,,,,,
PRS1139Abdalla,ʿAbdallāh b. Ǧaʿfar,,,,,m,Arabia,Islam, son Ǧaʿfar b. Abī Ṭālib,,,,,,
PRS1140Abdalla,ʿAbdallāh b. Ǧanāḥ,,,,,m,,Islam,, sulṭ. ,,,,,
PRS1141Abdalla,ʿAbdallāh b. Ibrāhīm b. Muḥammad al-Ḥimyarī al-Yamanī,,,,,m,,Islam,, nazīl Makka ,,,Mecca,,
PRS1142Abdalla,ʿAbdallāh b. Muḥammad at-Taʿāʾišī,,Abdullahi ,,,m,,Islam,, ḫalīfa ,,d. 1899,,,
PRS1143Abdalla,ʿAbdallāh b. Muḥammad b. Yūsuf al-Hararī,,,,,m,,Islam,, šayḫ ,,,,,
PRS1144Abdalla,ʿAbdallāh b. al-Muqaffaʿ,,,,,m,,Islam,, wr. ,,,,,
PRS1145Abdalla,ʿAbdallāh b. Rawāḥa,,,,,m,,Islam,, mil. ,,,,,
PRS1146Abdalla,ʿAbdallāh b. Šeḥem,,,,,m,,Islam,, ʿAf. leader ,,,Afar,,
