ESadmy002, Mälkǝʿa gubaʾe, Collection of Images
            ESap045, Gädlä sämaʿtatä Ṗäraqliṭos “Vita of the Martyrs of Ṗäraqliṭos” / Täʾamrä sämaʿtatä Ṗäraqliṭos “Miracles of the Martyrs of Ṗäraqliṭos”
            ESap046, Mälkǝʾa sämaʿtatä Ṗäraqliṭos “Image of the Martyrs of Ṗäraqliṭos” / Gädlä sämaʿtatä Ṗäraqliṭos “Vita of the Martyrs of Ṗäraqliṭos” / Täʾamrä sämaʿtatä Ṗäraqliṭos “Miracles of the Martyrs of Ṗäraqliṭos”
            ESap047, Gädlä Täklä Haymanot “Vita of Täklä Haymanot” / Mäṣḥafä lǝdätu lä-ʾabunä Täklä Haymanot “Book of the Genealogy of ʾabunä Täklä Haymanot” / Täʾamrä Täklä Haymanot “Miracles of Täklä Haymanot”
            ESap048, Gädlä Giyorgis "Vita of George" /  Täʾamrä Giyorgis "Miracles of George"
            ESap049a, Mälkǝʾa sämaʿtatä Ṗäraqliṭos “Image of the Martyrs of Ṗäraqliṭos”
            ESap050, Gädlä sämaʿtatä Ṗäraqliṭos “Vita of the Martyrs of Ṗäraqliṭos” / Täʾamrä sämaʿtatä Ṗäraqliṭos “Miracles of the Martyrs of Ṗäraqliṭos”
            ESap063, Ṣomä dǝggwa, Antiphonary for Lent
            ESap064, Apostolic Epistles / Raʾǝyä Yoḥannǝs "Revelation of John" / Gǝbrä ḥawaryat "Acts of the Apostles"
            ESaqg001, Dawit “Psalter”
            ESaqg002, Täʾamrä ʾIyasus “Miracles of Jesus”
            ESaqg003, ʾArbaʿtu wängel "Four Gospels"
            ESaqg004, Mäṣḥafä gәbrä ḥǝmamat “Book of the Rite of the Holy Week”
            ESaqg005, Gädlä sämaʿtat, Vitae of Saints and Martyrs (for the months from Taḫśaś to Näḥase)
            ESaqg006, Mäṣḥafä gǝnzät “Book of the Funeral Ritual” / Mäṣḥafä krǝstǝnna “Book of the Christening”
            ESaqg007, Sinodos "Senodos"
            ESaqg008, Orit “Octateuch”
            ESaqg009, Mäṣḥafä gǝnzät “Book of the Funeral Ritual”
            ESaqg010, Gädlä ḥawaryat, Apocryphal Acts of the Apostles
            ESaqg011, Täʾamrä Maryam "Miracles of Mary" / Täʾamrä Giyorgis "Miracles of George"
            ESaqg012, Mäṣḥafä qǝddase “Missal”
            ESaqg013, Bǝsratä Yoḥannǝs “Gospel of John”
