signature, title, work, edition/literature, record
                    ,,,literature,B. TURAEV “Iz efiopskoj otrečonnoj literatury. I. Psalmy kak zagovory” (‘From the Ethiopian Apocryphal Literature. I. Psalms as Charmes’) Hristianskij vostok 6–1 1917 63–74.
                    ,,,literature,EAE IV “Psalter”;
                    ,,,literature,J.A.B. DORN De Psalterio Aethiopico commentario Lipsiae 1825;
                    ,,,literature,M. KNIBB Translating the Bible. The Ethiopic Version of the Old Testament Oxford 1999 (The Schweich Lectures of the British Academy 1995) 46–52;
                    ,,,literature,M. KNIBB “The Ethiopic Translation of the Psalms” in: A. Aemelaeus – U. Quast (eds.) Der Septuaginta-Psalter und seine Tochterübersetzungen. Symposium in Göttingen 1997 Göttingen 2000 107–22;
                    ,,,literature,R. SCHNEIDER “Les titres des Psaumes en Éthiopien” in: D. Cohen (ed.) Mélanges Marcel Cohen The Hague – Paris 1970 424-428;
                    ,,,literature,S. STRELCYN “Le psaume 151 dans la tradition éthiopienne” JSS 23 1978 316-329;
                    ,,,literature,M.S. DEVENS A Concordance to Psalms in the Ethiopic Version Wiesbaden 2001 (AeF 59);
                    ,,II) Mäḥalǝyä näbiyat “The Canticles of the Prophets”,,
,,,edition,TÄSFA GÄBRÄ ŚǝLLASE zä-bǝḥerä Bulga Mäzmurä Dawit. Ṡälotatä näbiyat wä-mäḫalǝyä Sälomon wǝddase Maryam mǝslä anqäṣä bǝrhan… Addis Abäba 1991 E.C.
                    ,,,literature,EAE III 646.
                    ,,III) Mäḥalǝyä mäḥalǝy “Song of Songs”,,
,,,edition,TÄSFA GÄBRÄ ŚǝLLASE zä-bǝḥerä Bulga Mäzmurä Dawit. Ṡälotatä näbiyat wä- mäḫalǝyä Sälomon wǝddase Maryam mǝslä anqäṣä bǝrhan… Addis Abäba 1991 E.C.
                    ,,,edition,H.C. GLEAVE The Ethiopic Version of the Song of Songs London 1951;
                    ,,IV) Wǝddase Maryam “Praise of Mary”,,
,,,edition,BLedMH 279-296;
                    ,,,edition,TÄSFA GÄBRÄ ŚǝLLASE zä-bǝḥerä Bulga Mäzmurä Dawit. Ṡälotatä näbiyat wä- mäḫalǝyä Sälomon wǝddase Maryam mǝslä anqäṣä bǝrhan… Addis Abäba 1991 E.C.
                    ,,,edition,VelMe I 76-91; II 284-296;
                    ,,,edition,K. FRIES ወዳሴ፡ ማርያም. Weddâsê Mârjâm. Ein äthiopischer Lobgesang an Maria nach mehreren Handschriften Upsala 1892;
                    ,,,literature,EAE IV “Wǝddase Maryam”;
                    ,,,literature,GrohHymn 9–18.
                    ,,,literature,S. EURINGER “Der mutmaßliche Verfasser der koptischen Theotokien und des äthiopischen Weddâsê Mârjâm” OrChr N.S. 1 1911 215-26;
                    ,,,literature,CerMaria 290–300;
                    ,,V) Anqäṣä bǝrhan “The Gate of Light”,,
,,,edition,TÄSFA GÄBRÄ ŚǝLLASE zä-bǝḥerä Bulga Mäzmurä Dawit. Ṡälotatä näbiyat wä- mäḫalǝyä Sälomon wǝddase Maryam mǝslä anqäṣä bǝrhan… Addis Abäba 1991 E.C.
                    ,,,edition,VelMe I 69-76; II 279-283;
                    ,,,edition,GrohHymn 383-394;
                    ,,,literature,C. LASH “‘Gate of Light’: An Ethiopian Hymn to the Blessed Virgin” Eastern Church Review 4 1972 36-46; ibid. 5 1973 143-156.
                    ,,,literature,EAE I 278b-279b;
                    ,,VI) Unidentified text,,
MY-005,Täʾamrä Maryam “Miracles of Mary”,,,
            ,,,,
MY-009,Täʾamrä Maryam “Miracles of Mary”,,,
            ,,,,
MY-018,Täʾamrä Maryam “Miracles of Mary” / Discourse by John Chrysostom on the life and decollation of John the Baptist / Homily on the finding of the head of John the Baptist / Homily by John Chrisostom on the glory of John the Baptist,,,
            ,,,,
SM-002,Dawit Psalter,,,
            ,,,,
UM-005,Sǝnkǝssar “Synaxarion” (the second half of the year),,,
            ,,,,
AP-028,Täʾamrä Maryam “Miracles of Mary” / Miracles of the Trinity Archangel Michael Jesus Gäbrä Mänfäs Qǝddus,,,
            ,,,,
AP-029,Täʾamrä Maryam “Miracles of Mary” / Täʾamrä Mikaʾel Miracles of Michael,,,
            ,,,,
AP-035,Täʾamrä Maryam “Miracles of Mary” / Homily by Cyril of Jerusalem on the Assumption of Mary / Homily by Cyriacus of Behnesa on the Assumption of Mary,,,
            ,,,,
UM-015,Sǝnkǝssar “Synaxarion” (the first half of the year),,,
            ,,,,
DZ-014,Täʾamrä Maryam “Miracles of Mary”,,,
            ,,,,
SM-009,Dawit Psalter,,,
            ,,I) Mäzmurä Dawit “Psalms of David”,,
,,,edition,K. STOFFREGEN-PEDERSEN Traditional Biblical Exegesis of the Book of Psalms Wiesbaden 1995 (AeF 36).
                    ,,,edition,TÄSFA GÄBRÄ ŚǝLLASE zä-bǝḥerä Bulga Mäzmurä Dawit. Ṣälotatä näbiyat wä-mäḫalǝyä Sälomon wǝddase Maryam mǝslä ʾanqäṣä bǝrhan… Addis Abäba 1991 (and other editions);
                    ,,,edition,Editions:
                    ,,,literature,K. STOFFREGEN-PEDERSEN Traditional Biblical Exegesis of the Book of Psalms Wiesbaden 1995 (AeF 36).
