signature, title, work, edition/literature, record
                    ,,,edition,III RECENSION:
                    ,,,edition,The Synaxarion notes:
                    ,,,edition,I RECENSION:
                    ,,,literature,EAE III “Libanos”.
                    ,,,literature,ALESSANDRO BAUSI La «Vita» e i «miracoli» di Libānos Lovanii 2003a (CSCO 595 596 [SAe 105 106]) IX-XXIII.
                    ,,II. Mälkәʾa Libanos “Image of Libanos” (31 strophes),,
,,,edition,ALESSANDRO BAUSI La «Vita» e i «miracoli» di Libānos Lovanii 2003a (CSCO 595 596 [SAe 105 106]) 121-25 [text] and 81-83 [tr.].
                    ,,,literature,EAE III “Libanos”.
                    ,,,literature,ALESSANDRO BAUSI La «Vita» e i «miracoli» di Libānos Lovanii 2003a (CSCO 595 596 [SAe 105 106]) IX-XXIII.
                    ,,III. Sälam-hymn for Libanos,,
,,,edition,ALESSANDRO BAUSI La «Vita» e i «miracoli» di Libānos Lovanii 2003a (CSCO 595 596 [SAe 105 106]) 124 [text] and 83 [tr.].
                    ,,IV. Täʾamrä Libanos “Miracles of Libanos” (two miracles),,
,,,edition,CARLO CONTI ROSSINI “Il Gadla Libânos” in: Ricordi di un soggiorno in Eritrea. Fascicolo Primo Asmara 1903 34-41.
                    ,,,edition,ALESSANDRO BAUSI La «Vita» e i «miracoli» di Libānos Lovanii 2003a (CSCO 595 596 [SAe 105 106]) 73-205 [text] and 46-118 [tr.].
                    QQM-002,Wǝddase ʾamlak “Praise of God”,,,
            ,,,,
MHG-001,Gädlä Täklä Haymanot “Vita of Täklä Haymanot” / Mäṣḥafä fǝlsätu lä-ʾabunä Täklä Haymanot “Book of the Translation of ʾabunä Täklä Haymanot” / Täʾamrä Täklä Haymanot “Miracles of Täklä Haymanot” / Mälkәʾa Täklä Haymanot “Image of Täklä Haymanot”,,,
            ,,,,
ETH-004,Gädlä Täklä Haymanot “Vita of Täklä Haymanot” / Mäṣḥafä fǝlsätu lä-ʾabunä Täklä Haymanot “Book of the Translation of ʾabunä Täklä Haymanot” / Täʾamrä Täklä Haymanot “Miracles of Täklä Haymanot”,,,
            ,,,,
QDS-008,Gädlä Libanos “Vita of Libanos” / Täʾamrä Libanos “Miracles of Libanos” / Mälkәʾa Libanos “Image of Libanos”,,,
            ,,,,
MAKM-083,Wǝddase ʾamlak “Praise of God”/ ʾArganonä wǝddase “The Harp of Praise”,,,
            ,,,,
GMG-014,Gädlä Libanos “Vita of Libanos” / Täʾamrä Libanos “Miracles of Libanos” / Mälkәʾa Libanos “Image of Libanos”,,,
            ,,,,
MHG-009,Mǝʿǝraf The Common of the Office / Dǝggwa Antiphonary,,,
            ,,,,
THMR-001,Gädlä Täklä Haymanot “Vita of Täklä Haymanot” / Mäṣḥafä lǝdätu lä-ʾabunä Täklä Haymanot “Book of the Genealogy of ʾabunä Täklä Haymanot”,,,
            ,,,,
MSAE-007,Gädlä Täklä Haymanot “Vita of Täklä Haymanot” / Täʾamrä Täklä Haymanot “Miracles of Täklä Haymanot”,,,
            ,,,,
QDQ-008,Gädlä Täklä Haymanot “Vita of Täklä Haymanot” / Mäṣḥafä lǝdätu lä-ʾabunä Täklä Haymanot “Book of the Genealogy of ʾabunä Täklä Haymanot” / Täʾamrä Täklä Haymanot “Miracles of Täklä Haymanot”,,,
            ,,,,
TRM-017,Dǝggwa Antiphonary / Zǝmmare Eucharistic hymns / Mäwaśǝʾt Antiphonary for feasts and funeral service,,,
            ,,,,
GKM-011,Sǝnkǝssar “Synaxarion” (the second half of the year),,,
            ,,,,
GKM-009,Sǝnkǝssar “Synaxarion” (the first half of the year),,,
            ,,,,
SM-004,Mäwaśǝʾt Antiphonary for feasts and funeral service / Zǝmmare Eucharistic hymns,,,
            ,,,,
SM-005,Dǝggwa Antiphonary,,,
            ,,,,
QS-008,Sǝnkǝssar “Synaxarion” (the second half of the year),,,
            ,,,,
THMR-008,Mǝʿǝraf Common of the Office / Dǝggwa Antiphonary / Mäwaśǝʾt Antiphonary for feasts and funeral service / ʾAnqäṣä bǝrhan “Gate of Light” / Mälkǝʾa Maryam “Image of Mary” / Mälkǝʾa Mikaʾel “Image of Mikaʾel”,,,
            ,,,,
HMM-001,ʾArbaʿtu wängel “Four Gospels”,,,
            ,,,,
BMQM-006,ʾArbaʿtu wängel “Four Gospels”,,,
            ,,,,
EHPP-012,ʾArbaʿtu wängel “Four Gospels”,,,
            ,,,,
WQ-006,Gädlä Qirqos “Vita of Cyricus” / Täʾamrä Qirqos “Miracles of Cyricus” / Mälkәʾa Qirqos “Image of Cyricus” / Sälam-hymn for Cyricus,,,
            ,,I. Gädlä Qirqos “Vita of Cyricus”,,
,,,literature,A. DILLMANN “Über die apokryphen Märtyrergeschichten des Cyriacus mit Julitta und des Georgius” Sitzungsberichte der königlich preussischen Akademie der Wissenschaften zu Berlin. 28. April. Sitzung der philosophisch-historischen Classe Berlin 1887 339-356.
                    ,,,literature,BHO 193-195.
                    ,,,literature,BudSaint II 1130-1131.
                    ,,,literature,ColSyn IX 106-111.
                    ,,,literature,E. SENGAL “Poemetto amarico in onore di San Quirico” Studi Etiopici raccolti da C. Conti Rossini Roma 1954 (= RSE 4 1944-1945 [1946]) 41-5
                    ,,,literature,EAE IV “Qirqos”.
                    ,,,literature,G. FIACCADORI “Nuova iscrizione Greca da Aksum” Parola del Passato 62 2007 70-76.
                    ,,,literature,J. HABBI “Ciriaco (Quiryaqos) e Giulietta (Yolete)” in: EncSan 491.
                    ,,,literature,T. ORLANDI “Cyriacus and Julitta Saints” in: CE III 671.
                    ,,,literature,BHG 111-112.
                    ,,II. Täʾamrä Qirqos “Miracles of Cyricus” (3 miracles),,
,,,edition,S. GRÉBAUT “Un nouveau recueil des miracles de l`enfant Cyriaque” Aethiopica 3 1935 33-36 85-91.
                    ,,,edition,S. GRÉBAUT “Les miracles du saint enfant Cyriaque” ROC 18 (1913) 419-423; 19 (1914) 93-97; 20 (1915-1917) 106-109 129-132; 21 (1918-1919) 409-411; 25 (1925-1926) 187-195.
                    ,,III. Mälkәʾa Qirqos “Image of Cyricus” (47 strophes),,
,,IV. Sälam - hymn for Cyricus,,
MSM-001,Täʾamrä ʾIyäsus “Miracles of Jesus”,,,
            ,,,,
QSM-038,Gädlä Kiros “Vita of Kiros”,,,
            ,,,,
UM-028,Täʾamrä ʾIyäsus “Miracles of Jesus”,,,
            ,,,,
MY-028,Täʾamrä ʾIyäsus “Miracles of Jesus”,,,
            ,,,,
QS-013,Sǝnkǝssar “Synaxarion” (the first half of the year),,,
            ,,,,
EHPP-002,Gädlä ḥawaryat Apocryphal Acts of the Apostles,,,
            ,,,,
MY-021,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
MR-025,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
MR-014b,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
FBM-005,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
FBM-011,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
AQM-008,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
AQM-009,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
UM-034,Täʾamrä ʾIyäsus “Miracles of Jesus”,,,
            ,,,,
SDSM-004,ʾArbaʿtu wängel “Four Gospels”,,,
            ,,,,
QSM-008,Täʾamrä Maryam “Miracles of Mary”,,,
            ,,,,
GKM-004,Täʾamrä Maryam “Miracles of Mary”,,,
            ,,,,
DMD-005,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
UM-013,ʾArbaʿtu wängel “Four Gospels”,,,
            ,,,,
GKM-014,Dawit “Psalter”,,,
            ,,,,
GKM-022,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
SM-011,Dawit “Psalter”,,,
            ,,,,
QSM-001,Sǝnkǝssar “Synaxarion” (the first half of the year),,,
            ,,,,
ETH-003,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
QSM-007,Sǝnkǝssar “Synaxarion” (the second half of the year),,,
            ,,,,
SMM-006,Mäṣḥafä nәfq “Book of the Assistant Priest”,,,
            ,,,,
UM-052,ʾArganonä wǝddase “The Harp of Praise”,,,
            ,,,,
AP-018,Gädlä Kiros “Vita of Kiros”,,,
            ,,,,
GMS-004,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
AKM-004,Täʾamrä Libanos “Miracles of Libanos” / Gädlä Libanos “Vita of Libanos” / Täʾamrä Libanos “Miracles of Libanos” / ʾArganonä wǝddase “The Harp of Praise”,,,
            ,,,,
GMS-010,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
MAC-004,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
SM-012,Dawit “Psalter”,,,
            ,,,,
AP-017,Gädlä Kiros “Vita of Kiros”,,,
            ,,,,
QSM-018,Dawit “Psalter”,,,
            ,,,,
QSM-027,Ṣomä dǝggwa Antiphonary for Lent,,,
            ,,,,
MKL-009,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
BQM-013,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
AGM-005,Gädlä ʾƎsṭifanos zä-Gunda Gunde “Vita of ʾƎsṭifanos of Gunda Gunde” / Mälkǝʾa ʾƎsṭifanos zä-Gunda Gunde “Image of ʾƎsṭifanos of Gunda Gunde”,,,
            ,,,,
AQG-002,Täʾamrä ʾIyasus “Miracles of Jesus”,,,
            ,,,,
GBI-009,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
QDQ-004,Sǝnkǝssar “Synaxarion” (the entire year),,,
            ,,,,
QSM-004,Dǝrsanä Mikaʾel Homiliary for the feasts of St. Michael,,,
            ,,,,
QDQ-001,ʾArbaʿtu wängel “Four Gospels”,,,
            ,,,,
AGM-009,Mäṣḥafä nәfq “Book of the Assistant Priest” / Ṣalotä ʿәṭan “Prayer of Incense” / Bәsratä Luqas “Gospel of Luke”,,,
            ,,,,
AKM-003,Gädlä Gäbrä Mänfäs Qәddus “Vita of Gäbrä Mänfäs Qәddus” / Täʾamrä Gäbrä Mänfäs Qǝddus “Miracles of Gäbrä Mänfäs Qǝddus”,,,
            ,,,,
GBI-012,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
MAKM-044,ʾArbaʿtu wängel “Four Gospels”,,,
            ,,,,
QSM-028,Mäṣḥafä nәfq “Book of the Assistant Priest”,,,
            ,,,,
MR-004,Mäṣḥafä nǝfq “Book of the Assistant Priest” / Ṣalotä ˤǝṭan “Prayer of Incense”,,,
            ,,I. Mäṣḥafä nǝfq “The book of the Assistant Priest” (Excerpts from the Maṣḥafä qәddase and from the Acts of the Apostles),,
,,II. Ṣalotä ˤǝṭan “Prayer of Incense”,,
QSM-029,Dǝrsan maḥyawi “The Life-Giving Homily”,,,
            ,,,,
MAKM-060,Gädlä Giyorgis “Vita of George” / Täʾamrä Giyorgis “Miracles of George”,,,
            ,,,,
QDQ-011,Gädlä Zä-Mikaʾel ʾArägawi Vita of Zä-Mikaʾel ʾArägawi / Ṭǝntä lǝdätomu lä-mänäkosat Origin of the Monks / Mälkǝʾa Zä-Mikaʾel ʾArägawi Image of Zä-Mikaʾel ʾArägawi,,,
            ,,,,
NSM-014,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
QSM-023,Haymanotä ʾabäw “Faith of the Fathers”/ Mäṣḥafä ṭomar “Book of the Letter (from Heaven)”,,,
            ,,,,
NSM-010,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
SSB-005,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
MR-021,Dawit “Psalter”,,,
            ,,,,
MAKM-125,Ṭäbibä ṭäbiban The Wisest among the Wisest Ones / Mälkǝʾa Yoḥannǝs Mäṭmǝq “Image of John the Baptist”/ Sälam-hymns for John the Baptist/ Täʾamrä Maryam “Miracles of Mary”,,,
            ,,,,
QMB-004,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
MA-002,Gädlä ʾƎsṭifanos zä-Gunda Gunde “Vita of ʾƎsṭifanos of Gunda Gunde” / Mälkǝʾa ʾƎsṭifanos zä-Gunda Gunde “Image of ʾƎsṭifanos of Gunda Gunde” / Täʾamrä ʾƎsṭifanos zä-Gunda Gunde “Miracles of ʾƎsṭifanos zä-Gunda Gunde / Sälam–hymn for ʾƎsṭifanos of Gunda Gunde,,,
            ,,,,
QDS-013,Mäṣḥafä śәʿәl Book of Images,,,
            ,,,,
QMM-002,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
QDS-004,Dǝrsan maḥyawi “The Life-Giving Homily”/ Säʿatat zä-mäʿalt “Horologium for the Day Hours”,,,
            ,,,,
QMM-007,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
MQM-005,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
QDQ-003,Mäṣḥafä ṭomar Book of the Letter (from Heaven) / Täʾamrä Maryam Miracles of Mary / Täʾamrä ʾIyäsus Miracles of Jesus / Täʾamrä Libanos Miracles of Libanos,,,
            ,,,,
MR-024,Mäṣḥafä ʾaslәṭi Lectionary for the entire year / Excerpt from a liturgical book,,,
            ,,,,
MAKM-008,Wǝddase ʾamlak “Praise of God” / ʾArganonä wǝddase “The Harp of Praise”,,,
            ,,,,
THMR-018,ʾAkkonu bǝʾǝsi... “Does not the man…” / ʾAmmǝstu ʾaʿmadä mǝsṭir “The Five Pillars of Mystery” / ʾAndǝmta-commentary on the (Nicene) Creed / Tǝrgwame fidäl “Commentary on Gǝʾǝz Letters” / Tǝrgwame śǝnä fǝṭrät “Commentary on the Beauty of Creation”/ Unidentified text,,,
            ,,,,
HMM-010,Mäṣḥafä śǝnä fǝṭrät “Book of the Beauty of Creation’’ / ʾAmmǝstu ʾaʿmadä mǝsṭir “The Five Pillars of Mystery’’,,,
            ,,,,
MAKM-101,ʾAmmǝstu ʾaʿmadä mǝsṭir The Five Pillars of Mystery / Mäṣḥafä śǝnä fǝṭrät Book of the Beauty of Creation / Nägärä haymanot Discourse on Faith / Christian interpretation of Moses’ life,,,
            ,,,,
MQM-007,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
SM-017,Dawit “Psalter”,,,
            ,,,,
GKM-022a,Dawit “Psalter”,,,
            ,,,,
MAKM-074,Mälkǝʾa gubaʾe “Collection of Images” / Gädlä ʾabunä Tärbu “Vita of ʾabunä Tärbu”,,,
            ,,,,
MQM-014,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
AP-064,Apostolic Epistles / Raʾǝyä Yoḥannǝs Revelation of John / Gǝbrä ḥawaryat Acts of the Apostles,,,
            ,,,,
GKM-019,ʾArganonä wǝddase “The Harp of Praise”,,,
            ,,,,
MMA-004,Dǝrsanä mädḫane ʿaläm “Homily on the Saviour of the World” / Mäṣḥaf lä-täzkarä mädḫane ʿaläm “Book for the Commemoration of the Saviour of the World” / Mälkǝʾa mädḫane ʿaläm “Image of the Saviour of the World”,,,
            ,,,,
ATH-003,Dǝrsanä Mikaʾel Homiliary for the feasts of St. Michael,,,
            ,,,,
MKL-007,Mäṣḥaf lä-täzkarä mädḫane ʿaläm “Book for the Commemoration of the Saviour of the World” / Mälkǝʾa mädḫane ʿaläm “Image of the Saviour of the World”,,,
            ,,,,
DMD-010,Täʾamrä Yoḥannǝs Mäṭmǝq “Miracles of John the Baptist”,,,
            ,,,,
AP-038,Täʾamrä ʾIyäsus “Miracles of Jesus”,,,
            ,,,,
MMA-005,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
GKM-008,Tǝrgwame mälʾǝktä Ṗawlos ḫabä ʾayhud zä-Yoḥannәs ʾAfä Wärq Commentary of John Chrysostom on the Epistle of Paul to the Hebrews,,,
            ,,,,
MR-037,Sǝnkǝssar “Synaxarion” (the second half of the year),,,
            ,,,,
MR-041,Sǝnkǝssar “Synaxarion” (three months),,,
            ,,,,
MR-016,Dǝrsanä mädḫane ʿaläm “Homily on the Saviour of the World” / Mäṣḥaf lä-täzkarä mädḫane ʿaläm “Book for the Commemoration of the Saviour of the World” / Mälkǝʾa mädḫane ʿaläm “Image of the Saviour of the World”,,,
            ,,,,
FBM-004,Dǝrsanä mädḫane ʿaläm “Homily on the Saviour of the World” / Mäṣḥaf lä-täzkarä mädḫane ʿaläm “Book for the Commemoration of the Saviour of the World” / Mälkǝʾa mädḫane ʿaläm “Image of the Saviour of the World”,,,
            ,,,,
AP-011,Dǝrsanä Mikaʾel Homiliary for the feasts of St. Michael,,,
            ,,,,
MR-006,Liturgical miscellanea,,,
            ,,,,
SM-014,Sǝnkǝssar “Synaxarion” (the first half of the year),,,
            ,,,,
DMB-001,Dǝrsanä Mikaʾel Homiliary for the feasts of St. Michael,,,
            ,,,,
AMQ-008,Haymanotä ʾabäw “Faith of the Fathers” / Mäṣḥafä ṭomar “Book of the Letter (from Heaven)”,,,
            ,,,,
MMA-008,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
GMS-011,Mäṣḥafä ḫǝmamatihu wä-zena sǝqlätu lä-ʾIyäsus Krǝstos “Book of the Passion and Story of the Crucifixion of Jesus Christ” / Täʾamrä [täzkarä] motu lä-ʾIyäsus Krǝstos “Miracles Concerning the Commemoration of the Death of Our Saviour Jesus Christ” / Gädlä Täklä Maryam “Vita of Täklä Maryam (Mäbʿa Ṣǝyon)” / Miracles of the Saviour of the World worked by ʾabunä Täklä Maryam / Mästäbqwǝʿ zä-mäsqäl “Supplication of the Cross”,,,
            ,,,,
QDS-005,Haymanotä ʾabäw “Faith of the Fathers”,,,
            ,,,,
GMS-008,Haymanotä ʾabäw “Faith of the Fathers”,,,
            ,,,,
DD-038,Dawit “Psalter”/ Ṣälotat zä-maʿalt wä-zä-lelit “Prayers for the Day and for the Night Hours” / Raʾǝyä Yoḥannǝs “Revelation of John”,,,
            ,,,,
MR-027,Säʿatat zä-lelit wä-zä-nägh “Horologium for the Night and the Morning Hours”,,,
            ,,,,
MKMG-006,Täʾamrä Maryam “Miracles of Mary”,,,
            ,,,,
NSM-001,Haymanotä ʾabäw “Faith of the Fathers” / Mäṣḥafä ṭomar “Book of the Letter (from Heaven)”,,,
            ,,,,
DD-037,Sǝnkǝssar “Synaxarion” (the second half of the year),,,
            ,,,,
DSM-013,Haymanotä ʾabäw “Faith of the Fathers” / Mäṣḥafä ṭomar “Book of the Letter (from Heaven)”,,,
            ,,,,
GMG-005,Haymanotä ʾabäw “Faith of the Fathers” / Mäṣḥafä ṭomar “Book of the Letter (from Heaven)”,,,
            ,,,,
KY-006,Haymanotä ʾabäw “Faith of the Fathers” / Mäṣḥafä ṭomar “Book of the Letter (from Heaven)”,,,
            ,,,,
QQM-005,Gädlä ḥawaryat Apocryphal Acts of the Apostles,,,
            ,,,,
KY-069,ʾAmmǝstu ʾaʿmadä mǝsṭir “The Five Pillars of Mystery’’,,,
            ,,,,
SMM-004,Säʿatat zä-mäʿalt “Horologium for the Day Hours”,,,
            ,,,,
DD-031,Säʿatat zä-mäʿalt wä-zä-lelit “Horologium for the Day and the Night Hours”/ Märḥa ʿǝwwuran “Guide of the Blind Ones”/ Tarik zä-Wäldä ʿAmid “The History of Wäldä ʿAmid”,,,
            ,,,,
MR-005,ʾArganonä wǝddase “The Harp of Praise”,,,
            ,,,,
DD-007,Haymanotä ʾabäw “Faith of the Fathers”/ Mäṣḥafä ṭomar “Book of the Letter (from Heaven)”,,,
            ,,,,
SFM-002,Haymanotä ʾabäw “Faith of the Fathers” / Mäṣḥafä ṭomar “Book of the Letter (from Heaven)”,,,
            ,,,,
GKM-013,Gädlä Mäzgäbä Śәllase “Vita of Mäzgäbä Śәllase” / Mälkәʾa Mäzgäbä Śәllase “Image of Mäzgäbä Śәllase” / Sälam-hymn for Mäzgäbä Śәllase,,,
            ,,,,
FBM-008,Gädlä Mäzgäbä Śәllase “Vita of Mäzgäbä Śәllase” / Mälkәʾa Mäzgäbä Śәllase “Image of Mäzgäbä Śәllase” / Täʾamrä Mäzgäbä Śәllase “Miracles of Mäzgäbä Śәllase,,,
            ,,,,
FBM-012,Gädlä Mäzgäbä Śәllase Vita of Mäzgäbä Śәllase / Täʾamrä Mäzgäbä Śәllase Miracles of Mäzgäbä Śәllase / Mälkәʾa Mäzgäbä Śәllase Image of Mäzgäbä Śәllase / Sälam-hymn for Mäzgäbä Śәllase,,,
            ,,,,
AP-002,Dǝggwa Antiphonary / Zǝmmare Eucharistic hymns,,,
            ,,,,
AP-063,Ṣomä dǝggwa Antiphonary for Lent,,,
            ,,,,
QS-015,Haymanotä ʾabäw “Faith of the Fathers” / Mäṣḥafä ṭomar “Book of the Letter (from Heaven)”,,,
            ,,,,
AMM-005,Täʾamrä ʾIyäsus “Miracles of Jesus”,,,
            ,,,,
SM-001,Täʾamrä ʾIyäsus “Miracles of Jesus”,,,
            ,,,,
FBM-003,Sǝnkǝssar “Synaxarion” (the second half of the year),,,
            ,,,,
FBM-007,Sǝnkǝssar “Synaxarion” (the first half of the year),,,
            ,,,,
DD-008,Haymanotä ʾabäw “Faith of the Fathers” / Mäṣḥafä ṭomar “Book of the Letter (from Heaven)”,,,
            ,,,,
DD-014,ʾOrit “Octateuch”,,,
            ,,,,
GBI-006,Haymanotä ʾabäw “Faith of the Fathers” / Mäṣḥafä ṭomar “Book of the Letter (from Heaven)”,,,
            ,,,,
FBM-018,Täʾamrä ʾIyäsus “Miracles of Jesus”,,,
            ,,,,
AP-026,Mäṣḥafä gәṣṣawe Lectionary for the first half of the year,,,
            ,,,,
DD-039,Mäṣḥafä gәṣṣawe Lectionary for the entire year,,,
            ,,,,
MR-003,Sǝnkǝssar “Synaxarion” (three months),,,
            ,,,,
AMM-006,Täʾamrä ʾIyäsus “Miracles of Jesus”,,,
            ,,,,
AMQ-005,Täʾamrä ʾIyäsus “Miracles of Jesus”,,,
            ,,,,
DMD-012,Scriptural readings for the Night Hours / Rәʾәyä täʾamәr Vision of St. John the Evangelist about the Miracles of Mary / Mäṣḥafä gәṣṣәw Lectionary for the entire year,,,
            ,,,,
SDGM-007,Mäṣḥafä gәṣṣәw Lectionary for the entire year,,,
            ,,,,
AMS-011,Mäṣḥafä ʾaslәṭi Lectionary for the entire year,,,
            ,,,,
AMM-009,Dawit Psalter,,,
            ,,,,
SM-007,Sǝnkǝssar “Synaxarion” (the second half of the year),,,
            ,,,,
FBM-009,Dawit “Psalter”,,,
            ,,,,
AMQ-017,Mǝʿǝraf The Common of the Office,,,
            ,,,,
GMS-015,Scriptural readings for the Night Hours / Rәʾәyä täʾamәr Vision of St. John the Evangelist about the Miracles of Mary / Mäṣḥafä gәṣṣәw Lectionary for the entire year,,,
            ,,,,
AGM-007,Dawit “Psalter”,,,
            ,,,,
AMQ-016,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
MHG-022,Mäṣḥafä gәṣṣәw Lectionary for the week / Mäṣḥafä nәfq “Book of the Assistant Priest”,,,
            ,,,,
AGM-002,Dawit “Psalter”,,,
            ,,,,
MY-022,Barәkännä ʾәgziʾo… “Bless us O Lord…” / Mäṣḥafä gәṣṣәw Lectionary for the entire year,,,
            ,,,,
KY-054,Mäṣḥafä gәṣṣәw Lectionary for the entire year,,,
            ,,,,
AGM-008,Dawit “Psalter”,,,
            ,,,,
MKL-018,Gädlä Zä-Mikaʾel ʾArägawi Vita of Zä-Mikaʾel ʾArägawi / Ṭǝntä lǝdätomu lä-mänäkosat Origin of the Monks / Śǝrʿatä betä krǝstiyan Structure of the Church / Calendaric treatise / Mälkǝʾa Zä-Mikaʾel ʾArägawi Image of Zä-Mikaʾel ʾArägawi,,,
            ,,,,
GMG-017,Mälkǝʾa Zä-Mikaʾel ʾArägawi Image of Zä-Mikaʾel ʾArägawi / Gädlä Zä-Mikaʾel ʾArägawi Vita of Zä-Mikaʾel ʾArägawi / Ṭǝntä lǝdätomu lä-mänäkosat Origin of the Monks / Gädlä Gäbrä Krǝstos Vita of Gäbrä Krǝstos [St. Alexius],,,
            ,,,,
SMM-003,Mäṣḥafä ʾaślәṭi Lectionary for the entire year,,,
            ,,,,
FBM-016,Barәkännä ʾәgziʾo… “Bless us O Lord…” (Blessing prayer) / Mäṣḥafä ʾaślәṭi Lectionary for the entire year / Täʾamrä Maryam “Miracles of Mary”,,,
            ,,,,
MSM-008,Sǝnkǝssar “Synaxarion” (the first half of the year),,,
            ,,,,
SSB-006,Gädlä Zä-Mikaʾel ʾArägawi Vita of Zä-Mikaʾel ʾArägawi / Täʾamrä Zä-Mikaʾel ʾArägawi Miracles of Zä-Mikaʾel ʾArägawi / Mälkǝʾa Zä-Mikaʾel ʾArägawi Image of Zä-Mikaʾel ʾArägawi / Gädlä Gäbrä Krǝstos Vita of Gäbrä Krǝstos [St. Alexius],,,
            ,,,,
GMG-020,Mäṣḥafä gәṣṣawe Lectionary for the entire year,,,
            ,,,,
MR-045,ʾAmmǝstu ʾaʿmadä mǝsṭir “The Five Pillars of Mystery’’ / Ḥǝmamatä mäsqäl “Sufferings of the Cross” / Mälkǝʿa Mädḫane ʿAläm “Image of the Saviour of the World”,,,
            ,,,,
GMG-006,Mäṣḥafä ʾaślәṭi Lectionary for the entire year / Barәkännä ʾәgziʾo… “Bless us O Lord…”,,,
            ,,,,
NSM-005,Gädlä Gäbrä Mänfäs Qәddus Vita of Gäbrä Mänfäs Qәddus / Täʾamrä Gäbrä Mänfäs Qǝddus Miracles of Gäbrä Mänfäs Qǝddus,,,
            ,,,,
MY-024,Zena ḥǝmamatihu lä-mädḫaninä “Story of the Passion of Our Saviour” / Mäṣḥaf lä-täzkarä mädḫane ʿaläm “Book for the Commemoration of the Saviour of the World”,,,
            ,,,,
MY-025,Dǝrsanä mädḫane ʿaläm “Homily on the Saviour of the World” / Mäṣḥaf lä-täzkarä mädḫane ʿaläm “Book for the Commemoration of the Saviour of the World” / Mälkǝʾa mädḫane ʿaläm “Image of the Saviour of the World”,,,
            ,,,,
DAY-002,Haymanotä ʾabäw “Faith of the Fathers” / Mäṣḥafä ṭomar “Book of the Letter (from Heaven)”,,,
            ,,,,
GMS-006,Sǝnkǝssar “Synaxarion” (the second half of the year),,,
            ,,,,
AP-008,Pauline Epistles,,,
            ,,,,
MSM-007,Dǝrsan maḥyawi “The Life-Giving Homily”,,,
            ,,,,
MAKM-092,Haymanotä ʾabäw “Faith of the Fathers” / Mäṣḥafä ṭomar “Book of the Letter (from Heaven)”,,,
            ,,,,
DD-005,Fәtḥa nägäśt “Justice of the Kings”,,,
            ,,,,
AP-016,Gädlä ḥawaryat Apocryphal Acts of the Apostles / Täʾamrä Mikaʾel “Miracles of Michael” / Homily on St. Michael (story about St. Tälason),,,
            ,,,,
GMG-019,Ṣälot zä-ʾǝgzǝʾtǝnä Maryam bä-wǝsṭä hagärä Bartos “Prayer of Our Lady Mary in the Country of Bartos” / Ṣälot zä-ʾǝgzǝʾtǝnä Maryam bä-Däbrä Golgota Prayer of Our Lady Mary on Mount Golgotha on the 21st of Säne / Nǝgǝränni sǝmäkä … “Tell me your name …”,,,
            ,,,,
UM-031,Dawit “Psalter”,,,
            ,,,,
AP-009,Mäṣḥafä gәbrä ḥǝmamat “Book of the Rite of the Holy Week”,,,
            ,,,,
AKM-002,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
MKL-021,Dәrsanä sänbätä krǝstiyan “Homily on the Sabbath of Christians” / Mälkǝʾa sänbätä krǝstiyan “Image of the Sabbath of Christians” / Mäṣḥafä ṭomar “Book of the Letter (from Heaven)”,,,
            ,,,,
